"annee","filiere","equipement","acteur","specif1","specif2","statut_prod","quantite","tonnage"
2024,"ABJ","N/A","FR000017","FAM_2",,"DIS",2514822,11186.6592542
2024,"ABJ","N/A","FR000017","FAM_2",,"FAB",156882,7237.7971174
2024,"ABJ","N/A","FR000017","FAM_2",,"IMP",2158130,17699.850302
2024,"ABJ","N/A","FR000017","FAM_2",,"PMH",969423,1195.6505651
2024,"ABJ","N/A","FR000017","FAM_2",,"REV",1005641,3982.158732
2024,"ABJ","N/A","FR013024","FAM_3",,"DIS",6194612,5357.04
2024,"ABJ","N/A","FR013024","FAM_3",,"FAB",311937,28904.93
2024,"ABJ","N/A","FR013024","FAM_3",,"PMH",1559675,2442.33
2024,"ABJ","N/A","FR013024","FAM_3",,"REV",6462198,48022.24
2024,"ABJ","N/A","FR013024","FAM_4",,"DIS",2832990,9473.53
2024,"ABJ","N/A","FR013024","FAM_4",,"FAB",1985840,59754.21
2024,"ABJ","N/A","FR013024","FAM_4",,"PMH",980460,9010.41
2024,"ABJ","N/A","FR013024","FAM_4",,"REV",18141955,178715.43
2024,"ABJ","N/A","FR200004","FAM_1",,"FAB",7468782,448.11406
2024,"ABJ","N/A","FR200004","FAM_1",,"IMP",64786505,3887.17656
2024,"ABJ","N/A","FR200004","FAM_1",,"REV",62111892,3726.7
2024,"ABJ","N/A","FR292827","FAM_3",,"DIS",2676,1.0003954
2024,"ABJ","N/A","FR292827","FAM_3",,"FAB",4021802,6801.3173818
2024,"ABJ","N/A","FR292827","FAM_3",,"IMP",1810062,1036.7109154
2024,"ABJ","N/A","FR292827","FAM_3",,"PMH",230,0.02875
2024,"ABJ","N/A","FR292827","FAM_3",,"REV",304745,1302.0885718
2024,"ABJ","N/A","FR292827","FAM_4",,"DIS",5392,58.9543124
2024,"ABJ","N/A","FR292827","FAM_4",,"FAB",155341,948.8086923
2024,"ABJ","N/A","FR292827","FAM_4",,"IMP",20025,119.6395663
2024,"ABJ","N/A","FR292827","FAM_4",,"REV",144591,425.8982848
2024,"ASL","N/A","FR000017","CAT_1",,"DIS",3472992,2793.3009429
2024,"ASL","N/A","FR000017","CAT_1",,"FAB",3800367,5479.4043471
2024,"ASL","N/A","FR000017","CAT_1",,"IMP",12735779,6621.0827864
2024,"ASL","N/A","FR000017","CAT_1",,"PMH",3350805,2066.479798
2024,"ASL","N/A","FR000017","CAT_1",,"REV",13614358,14381.5237501
2024,"ASL","N/A","FR000017","CAT_2",,"DIS",107696470,7936.5430843
2024,"ASL","N/A","FR000017","CAT_2",,"FAB",70800833,9395.4205877
