country,level,tier,sector,metric_family,metric,basis,unit,baseline_value,baseline_year,latest_value,latest_year,target_value,target_year,instrument,comparable,status,note,source_url
France,government,EU,All municipal waste,Recycling rate,Preparing for re-use and recycling of municipal waste,Total municipal waste generated,%,,,,,55,2025,"Waste Framework Directive 2008/98/EC art.11(2), as amended by (EU) 2018/851",FALSE,verified,"Weight measured when waste enters the recycling operation, not at collection.",https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:02008L0098-20180705
France,government,EU,All municipal waste,Recycling rate,Preparing for re-use and recycling of municipal waste,Total municipal waste generated,%,,,,,60,2030,"Waste Framework Directive 2008/98/EC art.11(2), as amended by (EU) 2018/851",FALSE,verified,"Weight measured when waste enters the recycling operation, not at collection.",https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:02008L0098-20180705
France,government,EU,All municipal waste,Recycling rate,Preparing for re-use and recycling of municipal waste,Total municipal waste generated,%,,,,,65,2035,"Waste Framework Directive 2008/98/EC art.11(2), as amended by (EU) 2018/851",FALSE,verified,"Weight measured when waste enters the recycling operation, not at collection.",https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:02008L0098-20180705
France,government,EU,All municipal waste,Landfill diversion,Municipal waste landfilled,Total municipal waste generated,%,,,,,10,2035,"Landfill Directive 1999/31/EC art.5(5), as amended by (EU) 2018/850",FALSE,verified,"Ceiling, not a floor. Lower is better.",https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:01999L0031-20180704
France,government,EU,Packaging,Recycling rate,All packaging waste recycled,"All packaging waste generated, by weight",%,,,,,65,2025,"Packaging Directive 94/62/EC art.6(1), as amended by (EU) 2018/852",FALSE,verified,Restated in PPWR (EU) 2025/40 art.52.,https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:01994L0062-20180704
France,government,EU,Packaging,Recycling rate,All packaging waste recycled,"All packaging waste generated, by weight",%,,,,,70,2030,"Packaging Directive 94/62/EC art.6(1), as amended by (EU) 2018/852",FALSE,verified,Restated in PPWR (EU) 2025/40 art.52.,https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:01994L0062-20180704
France,government,EU,Packaging,Recycling rate,Plastic packaging waste recycled,"Plastic contained in packaging waste generated, by weight",%,,,,,50,2025,"Packaging Directive 94/62/EC art.6(1), as amended by (EU) 2018/852",FALSE,verified,"Material-specific denominator, not a share of total packaging.",https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:01994L0062-20180704
France,government,EU,Packaging,Recycling rate,Plastic packaging waste recycled,"Plastic contained in packaging waste generated, by weight",%,,,,,55,2030,"Packaging Directive 94/62/EC art.6(1), as amended by (EU) 2018/852",FALSE,verified,"Material-specific denominator, not a share of total packaging.",https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:01994L0062-20180704
France,government,EU,Packaging,Recycling rate,Wood packaging waste recycled,"Wood contained in packaging waste generated, by weight",%,,,,,25,2025,"Packaging Directive 94/62/EC art.6(1), as amended by (EU) 2018/852",FALSE,verified,"Material-specific denominator, not a share of total packaging.",https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:01994L0062-20180704
France,government,EU,Packaging,Recycling rate,Wood packaging waste recycled,"Wood contained in packaging waste generated, by weight",%,,,,,30,2030,"Packaging Directive 94/62/EC art.6(1), as amended by (EU) 2018/852",FALSE,verified,"Material-specific denominator, not a share of total packaging.",https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:01994L0062-20180704
France,government,EU,Packaging,Recycling rate,Ferrous metals packaging waste recycled,"Ferrous metals contained in packaging waste generated, by weight",%,,,,,70,2025,"Packaging Directive 94/62/EC art.6(1), as amended by (EU) 2018/852",FALSE,verified,"Material-specific denominator, not a share of total packaging.",https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:01994L0062-20180704
France,government,EU,Packaging,Recycling rate,Ferrous metals packaging waste recycled,"Ferrous metals contained in packaging waste generated, by weight",%,,,,,80,2030,"Packaging Directive 94/62/EC art.6(1), as amended by (EU) 2018/852",FALSE,verified,"Material-specific denominator, not a share of total packaging.",https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:01994L0062-20180704
France,government,EU,Packaging,Recycling rate,Aluminium packaging waste recycled,"Aluminium contained in packaging waste generated, by weight",%,,,,,50,2025,"Packaging Directive 94/62/EC art.6(1), as amended by (EU) 2018/852",FALSE,verified,"Material-specific denominator, not a share of total packaging.",https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:01994L0062-20180704
France,government,EU,Packaging,Recycling rate,Aluminium packaging waste recycled,"Aluminium contained in packaging waste generated, by weight",%,,,,,60,2030,"Packaging Directive 94/62/EC art.6(1), as amended by (EU) 2018/852",FALSE,verified,"Material-specific denominator, not a share of total packaging.",https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:01994L0062-20180704
