annee;filiere;equipement;acteur;pays_site_trt;reg_site_trt;dep_site_trt;type_dech;type_orig;type_ton;nom_usuel;code_ced;code_rd;typ_trt;masse
2024;ABJ;N/A;FR000017;FR;01;971;FAM_2;;OPE;MF;_130899D;D10;ELIM_INC;0.2526300
2024;ABJ;N/A;FR000017;FR;01;971;FAM_2;;OPE;MF;_130899D;D5;ELIM_CET;1.7448312
2024;ABJ;N/A;FR000017;FR;01;971;FAM_2;;OPE;MF;_130899D;R4;RECY_METAL;14.8445388
2024;ABJ;N/A;FR000017;FR;03;973;FAM_2;;OPE;MNF;_130899D;D10;ELIM_INC;0.0825000
2024;ABJ;N/A;FR000017;FR;03;973;FAM_2;;OPE;MNF;_130899D;D5;ELIM_CET;0.7640325
2024;ABJ;N/A;FR000017;FR;03;973;FAM_2;;OPE;MNF;_130899D;R4;RECY_METAL;3.2784675
2024;ABJ;N/A;FR000017;FR;11;77;FAM_2;;OPE;MF;_130899D;R4;RECY_METAL;281.4099972
2024;ABJ;N/A;FR000017;FR;11;91;FAM_2;;OPE;MNF;_130899D;D5;ELIM_CET;0.2972935
2024;ABJ;N/A;FR000017;FR;11;91;FAM_2;;OPE;MNF;_130899D;R4;RECY_METAL;5.5897065
2024;ABJ;N/A;FR000017;FR;11;95;FAM_2;;OPE;MF;_130899D;D10;ELIM_INC;0.7402242
2024;ABJ;N/A;FR000017;FR;11;95;FAM_2;;OPE;MF;_130899D;R1;VALO_ENER;7.9636109
2024;ABJ;N/A;FR000017;FR;11;95;FAM_2;;OPE;MF;_130899D;R12;VALO_ENER;6.7451349
2024;ABJ;N/A;FR000017;FR;11;95;FAM_2;;OPE;MF;_130899D;R4;RECY_METAL;28.0680296
2024;ABJ;N/A;FR000017;FR;21;51;FAM_2;;OPE;MF;_130899D;D10;ELIM_INC;0.0000198
2024;ABJ;N/A;FR000017;FR;21;51;FAM_2;;OPE;MF;_130899D;D5;ELIM_CET;0.0733449
2024;ABJ;N/A;FR000017;FR;21;51;FAM_2;;OPE;MF;_130899D;R1;VALO_ENER;0.1331075
2024;ABJ;N/A;FR000017;FR;21;51;FAM_2;;OPE;MF;_130899D;R4;RECY_METAL;1.7735278
2024;ABJ;N/A;FR000017;FR;23;27;FAM_2;;OPE;MNF;_130899D;D5;ELIM_CET;0.0338855
2024;ABJ;N/A;FR000017;FR;23;27;FAM_2;;OPE;MNF;_130899D;R4;RECY_METAL;0.6371145
2024;ABJ;N/A;FR000017;FR;23;76;FAM_2;;OPE;MNF;_130899D;D5;ELIM_CET;0.0314615
2024;ABJ;N/A;FR000017;FR;23;76;FAM_2;;OPE;MNF;_130899D;R4;RECY_METAL;0.5915385
2024;ABJ;N/A;FR000017;FR;24;41;FAM_2;;OPE;METAL;_130899D;R12;VALO_ENER;0.2784000
2024;ABJ;N/A;FR000017;FR;24;41;FAM_2;;OPE;METAL;_130899D;R4;RECY_METAL;6.6816000
2024;ABJ;N/A;FR000017;FR;24;45;FAM_2;;OPE;MNF;_130899D;D5;ELIM_CET;2.1210000
2024;ABJ;N/A;FR000017;FR;24;45;FAM_2;;OPE;MNF;_130899D;R4;RECY_METAL;39.8790000
2024;ABJ;N/A;FR000017;FR;25;14;FAM_2;;OPE;MNF;_130899D;D5;ELIM_CET;4.4050140
2024;ABJ;N/A;FR000017;FR;25;14;FAM_2;;OPE;MNF;_130899D;R4;RECY_METAL;82.8229860
2024;ABJ;N/A;FR000017;FR;26;21;FAM_2;;OPE;MF;_130899D;D10;ELIM_INC;0.0022320
2024;ABJ;N/A;FR000017;FR;26;21;FAM_2;;OPE;MF;_130899D;D5;ELIM_CET;0.1822800
2024;ABJ;N/A;FR000017;FR;26;21;FAM_2;;OPE;MF;_130899D;R1;VALO_ENER;0.0535680
2024;ABJ;N/A;FR000017;FR;26;21;FAM_2;;OPE;MF;_130899D;R12;VALO_ENER;0.1130880
2024;ABJ;N/A;FR000017;FR;26;21;FAM_2;;OPE;MF;_130899D;R4;RECY_METAL;2.1288320
2024;ABJ;N/A;FR000017;FR;31;59;FAM_2;;OPE;MNF;_130899D;D5;ELIM_CET;34.9255648
2024;ABJ;N/A;FR000017;FR;31;59;FAM_2;;OPE;MNF;_130899D;R4;RECY_METAL;103.5154352
2024;ABJ;N/A;FR000017;FR;31;62;FAM_2;;OPE;MNF;_130899D;D5;ELIM_CET;0.2070500
